# QGIS Generated Color Map Export File
INTERPOLATION:INTERPOLATED
110,145,19,118,255,110.000000
120.245,36,161,153,255,120.244898
130.49,215,125,66,255,130.489796
140.735,108,105,178,255,140.734694
150.98,149,202,15,255,150.979592
161.224,17,134,17,255,161.224490
171.469,85,40,250,255,171.469388
181.714,93,188,164,255,181.714286
191.959,65,184,69,255,191.959184
202.204,157,102,91,255,202.204082
212.449,144,213,74,255,212.448980
222.694,126,235,43,255,222.693878
232.939,142,106,49,255,232.938776
243.184,119,245,142,255,243.183673
253.429,183,24,45,255,253.428571
263.673,50,113,200,255,263.673469
273.918,90,102,182,255,273.918367
284.163,158,16,42,255,284.163265
294.408,229,36,46,255,294.408163
304.653,244,125,56,255,304.653061
314.898,55,188,75,255,314.897959
325.143,58,181,154,255,325.142857
335.388,142,13,80,255,335.387755
345.633,228,120,90,255,345.632653
355.878,116,85,178,255,355.877551
366.122,95,122,180,255,366.122449
376.367,170,194,92,255,376.367347
386.612,239,220,142,255,386.612245
396.857,114,207,176,255,396.857143
407.102,243,116,173,255,407.102041
417.347,57,164,213,255,417.346939
427.592,222,96,212,255,427.591837
437.837,64,165,152,255,437.836735
448.082,169,221,85,255,448.081633
458.327,161,34,134,255,458.326531
468.571,146,47,88,255,468.571429
478.816,48,203,84,255,478.816327
489.061,117,77,196,255,489.061224
499.306,105,228,126,255,499.306122
509.551,171,100,112,255,509.551020
519.796,111,212,185,255,519.795918
530.041,146,12,23,255,530.040816
540.286,208,241,142,255,540.285714
550.531,68,21,149,255,550.530612
560.776,113,190,139,255,560.775510
571.02,57,199,161,255,571.020408
581.265,94,229,146,255,581.265306
591.51,39,71,213,255,591.510204
601.755,116,179,194,255,601.755102
612,225,21,150,255,612.000000
